date,sales
2013-01-01,12
2013-01-02,16
2013-01-03,16
2013-01-04,20
2013-01-05,16
2013-01-06,18
2013-01-07,12
2013-01-08,11
2013-01-09,16
2013-01-10,10
2013-01-11,15
2013-01-12,22
2013-01-13,30
2013-01-14,14
2013-01-15,17
2013-01-16,14
2013-01-17,14
2013-01-18,12
2013-01-19,18
2013-01-20,24
2013-01-21,13
2013-01-22,11
2013-01-23,19
2013-01-24,14
2013-01-25,17
2013-01-26,14
2013-01-27,12
2013-01-28,15
2013-01-29,18
2013-01-30,10
2013-01-31,16
2013-02-01,16
2013-02-02,23
2013-02-03,14
2013-02-04,18
2013-02-05,16
2013-02-06,12
2013-02-07,19
2013-02-08,13
2013-02-09,15
2013-02-10,21
2013-02-11,11
2013-02-12,14
2013-02-13,19
2013-02-14,14
2013-02-15,17
2013-02-16,25
2013-02-17,26
2013-02-18,13
2013-02-19,22
2013-02-20,21
2013-02-21,9
2013-02-22,21
2013-02-23,15
2013-02-24,20
2013-02-25,17
2013-02-26,16
2013-02-27,11
2013-02-28,22
2013-03-01,27
2013-03-02,23
2013-03-03,29
2013-03-04,25
2013-03-05,13
2013-03-06,21
2013-03-07,19
2013-03-08,20
2013-03-09,31
2013-03-10,32
2013-03-11,17
2013-03-12,20
2013-03-13,22
2013-03-14,17
2013-03-15,17
2013-03-16,23
2013-03-17,20
2013-03-18,12
2013-03-19,17
2013-03-20,20
2013-03-21,25
2013-03-22,28
2013-03-23,30
2013-03-24,30
2013-03-25,17
2013-03-26,23
2013-03-27,17
2013-03-28,21
2013-03-29,21
2013-03-30,26
2013-03-31,23
2013-04-01,16
2013-04-02,29
2013-04-03,34
2013-04-04,30
2013-04-05,23
2013-04-06,28
2013-04-07,32
2013-04-08,15
2013-04-09,23
2013-04-10,16
2013-04-11,26
2013-04-12,22
2013-04-13,26
2013-04-14,39
2013-04-15,17
2013-04-16,19
2013-04-17,25
2013-04-18,28
2013-04-19,29
2013-04-20,29
2013-04-21,22
2013-04-22,17
2013-04-23,19
2013-04-24,21
2013-04-25,31
2013-04-26,29
2013-04-27,25
2013-04-28,20
2013-04-29,21
2013-04-30,32
2013-05-01,29
2013-05-02,30
2013-05-03,28
2013-05-04,29
2013-05-05,32
2013-05-06,20
2013-05-07,21
2013-05-08,29
2013-05-09,25
2013-05-10,35
2013-05-11,23
2013-05-12,38
2013-05-13,20
2013-05-14,30
2013-05-15,26
2013-05-16,26
2013-05-17,45
2013-05-18,28
2013-05-19,29
2013-05-20,20
2013-05-21,22
2013-05-22,25
2013-05-23,31
2013-05-24,16
2013-05-25,24
2013-05-26,42
2013-05-27,18
2013-05-28,17
2013-05-29,26
2013-05-30,26
2013-05-31,33
2013-06-01,44
2013-06-02,44
2013-06-03,23
2013-06-04,22
2013-06-05,32
2013-06-06,29
2013-06-07,28
2013-06-08,36
2013-06-09,22
2013-06-10,16
2013-06-11,26
2013-06-12,25
2013-06-13,26
2013-06-14,33
2013-06-15,37
2013-06-16,34
2013-06-17,26
2013-06-18,22
2013-06-19,18
2013-06-20,21
2013-06-21,36
2013-06-22,28
2013-06-23,30
2013-06-24,25
2013-06-25,32
2013-06-26,26
2013-06-27,25
2013-06-28,24
2013-06-29,27
2013-06-30,28
2013-07-01,24
2013-07-02,19
2013-07-03,30
2013-07-04,25
2013-07-05,42
2013-07-06,32
2013-07-07,31
2013-07-08,27
2013-07-09,29
2013-07-10,28
2013-07-11,36
2013-07-12,40
2013-07-13,27
2013-07-14,27
2013-07-15,17
2013-07-16,21
2013-07-17,31
2013-07-18,34
2013-07-19,37
2013-07-20,36
2013-07-21,34
2013-07-22,30
2013-07-23,28
2013-07-24,24
2013-07-25,33
2013-07-26,30
2013-07-27,45
2013-07-28,27
2013-07-29,24
2013-07-30,24
2013-07-31,19
2013-08-01,23
2013-08-02,32
2013-08-03,30
2013-08-04,30
2013-08-05,18
2013-08-06,22
2013-08-07,24
2013-08-08,30
2013-08-09,30
2013-08-10,25
2013-08-11,27
2013-08-12,27
2013-08-13,14
2013-08-14,26
2013-08-15,26
2013-08-16,27
2013-08-17,30
2013-08-18,25
2013-08-19,24
2013-08-20,18
2013-08-21,14
2013-08-22,27
2013-08-23,27
2013-08-24,26
2013-08-25,28
2013-08-26,23
2013-08-27,29
2013-08-28,30
2013-08-29,32
2013-08-30,35
2013-08-31,26
2013-09-01,25
2013-09-02,21
2013-09-03,23
2013-09-04,22
2013-09-05,28
2013-09-06,23
2013-09-07,23
2013-09-08,38
2013-09-09,18
2013-09-10,23
2013-09-11,18
2013-09-12,24
2013-09-13,28
2013-09-14,23
2013-09-15,27
2013-09-16,26
2013-09-17,23
2013-09-18,27
2013-09-19,26
2013-09-20,18
2013-09-21,29
2013-09-22,36
2013-09-23,16
2013-09-24,32
2013-09-25,25
2013-09-26,28
2013-09-27,23
2013-09-28,25
2013-09-29,21
2013-09-30,14
2013-10-01,21
2013-10-02,25
2013-10-03,24
2013-10-04,34
2013-10-05,25
2013-10-06,25
2013-10-07,20
2013-10-08,24
2013-10-09,23
2013-10-10,23
2013-10-11,27
2013-10-12,29
2013-10-13,22
2013-10-14,27
2013-10-15,15
2013-10-16,14
2013-10-17,36
2013-10-18,21
2013-10-19,29
2013-10-20,35
2013-10-21,15
2013-10-22,18
2013-10-23,23
2013-10-24,23
2013-10-25,22
2013-10-26,23
2013-10-27,18
2013-10-28,23
2013-10-29,18
2013-10-30,20
2013-10-31,34
2013-11-01,31
2013-11-02,23
2013-11-03,17
2013-11-04,15
2013-11-05,24
2013-11-06,28
2013-11-07,19
2013-11-08,26
2013-11-09,35
2013-11-10,41
2013-11-11,21
2013-11-12,24
2013-11-13,18
2013-11-14,24
2013-11-15,32
2013-11-16,29
2013-11-17,30
2013-11-18,19
2013-11-19,26
2013-11-20,24
2013-11-21,20
2013-11-22,19
2013-11-23,23
2013-11-24,18
2013-11-25,13
2013-11-26,22
2013-11-27,17
2013-11-28,22
2013-11-29,29
2013-11-30,24
2013-12-01,20
2013-12-02,11
2013-12-03,17
2013-12-04,16
2013-12-05,27
2013-12-06,20
2013-12-07,26
2013-12-08,19
2013-12-09,12
2013-12-10,22
2013-12-11,23
2013-12-12,10
2013-12-13,21
2013-12-14,18
2013-12-15,24
2013-12-16,10
2013-12-17,10
2013-12-18,15
2013-12-19,12
2013-12-20,21
2013-12-21,24
2013-12-22,18
2013-12-23,7
2013-12-24,20
2013-12-25,11
2013-12-26,15
2013-12-27,20
2013-12-28,18
2013-12-29,24
2013-12-30,20
2013-12-31,18
2014-01-01,19
2014-01-02,17
2014-01-03,14
2014-01-04,16
2014-01-05,24
2014-01-06,23
2014-01-07,16
2014-01-08,13
2014-01-09,21
2014-01-10,25
2014-01-11,16
2014-01-12,21
2014-01-13,15
2014-01-14,20
2014-01-15,17
2014-01-16,21
2014-01-17,19
2014-01-18,15
2014-01-19,25
2014-01-20,8
2014-01-21,14
2014-01-22,16
2014-01-23,26
2014-01-24,26
2014-01-25,20
2014-01-26,19
2014-01-27,14
2014-01-28,11
2014-01-29,15
2014-01-30,21
2014-01-31,17
2014-02-01,36
2014-02-02,17
2014-02-03,12
2014-02-04,24
2014-02-05,8
2014-02-06,28
2014-02-07,19
2014-02-08,25
2014-02-09,10
2014-02-10,18
2014-02-11,13
2014-02-12,13
2014-02-13,8
2014-02-14,24
2014-02-15,21
2014-02-16,29
2014-02-17,12
2014-02-18,16
2014-02-19,19
2014-02-20,23
